Company Name,Rating,Average Salary,Role
ThinkBumblebee Analytics,4.5,"12,81,310",Data Scientist
NeenOpal,4.2,"8,28,933",Data Scientist
DONE by NONE,4.0,"5,10,463",Data Scientist
Ericsson IT Solutions & Services,4.1,"10,03,684",Data Scientist
NTT DATA,3.5,"6,23,893",Data Scientist
[24]7.ai,4.1,"17,08,413",Data Scientist
Incedo,3.9,"12,55,556",Data Scientist
NielsenIQ,3.9,"8,54,241",Data Scientist
Housing.com,4.1,"21,19,156",Data Scientist
VMock,4.2,"19,34,061",Data Scientist
Novartis,4.0,"14,86,376",Data Scientist
iNeuron,4.4,"4,07,883",Data Scientist - Intern
Decimal Point Analytics,4.3,"12,00,000",Data Scientist
IQVIA,4.0,"9,10,000",Data Scientist
Nones,3.9,"7,65,026",Data Scientist
Sprinklr,3.6,"17,32,982",Data Scientist
Vodafone,4.0,"9,88,804",Data Scientist
XYZ,3.8,"5,75,000",Data Scientist
Dell Technologies,4.2,"16,69,550",Data Scientist
Algoscale,3.5,"6,10,853",Data Scientist
Robert Bosch India,4.1,"12,77,520",Data Scientist
Octro,3.9,"8,81,058",Data Scientist
Aaum Research and Analytics,3.6,"5,00,598",Data Scientist
eClerx,3.6,"9,03,334",Data Scientist
Intellect Design Arena,4.1,"10,24,193",Data Scientist
Wells Fargo,3.7,"19,00,687",Data Scientist
Enquero,4.0,"9,46,769",Data Scientist
Adobe,4.4,"24,00,000",Data Scientist
Quadratic Insights,4.0,"6,12,556",Data Scientist
KPMG,3.8,"12,00,000",Data Scientist
Mphasis,3.6,"10,38,314",Data Scientist
Zee Entertainment Enterprises Ltd.,3.7,"22,00,000",Data Scientist
Curl Analytics,4.6,"12,00,000",Data Scientist
CARS24.com,4.2,"12,00,000",Data Scientist
Zensar Technologies,3.9,"12,29,032",Data Scientist
Kotak Mahindra Bank,3.7,"9,00,000",Data Scientist
Claim Genius,3.3,"14,09,550",Data Scientist
Bepec Solutions,4.2,"6,40,000",Data Scientist
Valiance Solutions,4.4,"10,05,636",Data Scientist
American Express,4.2,"18,99,534",Data Scientist
Publicis Sapient,3.8,"16,66,492",Data Scientist
Abzooba,4.7,"11,00,000",Data Scientist
Sutherland,3.7,"7,19,544",Data Scientist
SPi Global,3.6,"7,93,182",Data Scientist
Legato Health Technologies,4.0,"13,02,076",Data Scientist
Teleperformance,4.2,"8,00,000",Data Scientist
Noodle.ai,3.8,"16,84,096",Data Scientist
Quantiphi,3.6,"9,54,907",Data Scientist
HDFC Standard Life Insurance,3.8,"12,36,059",Data Scientist
Virtusa,3.8,"6,18,847",Data Scientist
R Systems,3.9,"17,75,000",Data Scientist
MAERSK,4.2,"23,20,770",Data Scientist
Accenture,4.0,"38,962",Data Scientist - Monthly Intern
Jotter,2.9,"8,86,987",Data Scientist
SLB,4.0,"19,69,880",Data Scientist
Blackcoffer,4.7,"6,604",Data Scientist - Monthly Intern
Happiest Minds Technologies,4.3,"10,66,386",Data Scientist
IELEKTRON TECHNOLOGIES ENGINEERING PRIVATE LIMITED,4.4,"7,00,000",Data Scientist
Target,3.6,"13,38,619",Data Scientist
ICICI Bank,3.7,"13,66,385",Data Scientist
o9 Solutions,4.0,"12,00,000",Data Scientist
Episource,3.7,"11,35,503",Data Scientist
XYZ,3.7,"7,11,245",Data Scientist
GEP,3.9,"11,00,000",Data Scientist
Data Sutram,3.8,"6,00,000",Data Scientist
RBL Bank,3.6,"14,00,000",Data Scientist
Lowe's Home Improvement,3.5,"20,00,000",Data Scientist
Innodatatics,4.3,"6,46,587",Data Scientist
Amdocs,4.0,"6,66,385",Data Scientist
CrowdANALYTIX,4.6,"6,94,297",Data Scientist
Google,4.4,"10,00,000",Data Scientist - Intern
The Sparks Foundation,3.8,"3,68,188",Data Scientist - Intern
Freelancer,4.2,"7,14,647",Data Scientist
Caterpillar,4.0,"12,91,759",Data Scientist
GE,4.0,"12,01,228",Data Scientist
IBM,4.0,"42,038",Data Scientist - Monthly Intern
MakeMyTrip,4.2,"13,32,771",Data Scientist
Xalt Analytics,1.0,"5,00,000",Data Scientist
GlobusSoft,4.4,"3,60,000",Data Scientist
Bharat Light & Power,4.2,"8,96,616",Data Scientist
LinkedIn,4.4,"26,33,808",Data Scientist
L&T Finance,3.7,"8,65,716",Data Scientist
LatentView Analytics,4.1,"9,46,769",Data Scientist
Kyndryl,3.8,"20,00,000",Data Scientist
Times Internet,4.2,"28,00,506",Data Scientist
Flip Robo,4.4,"5,00,000",Data Scientist
HighRadius,3.7,"10,00,000",Data Scientist
Persistent Systems,4.0,"9,00,000",Data Scientist
Knowledge Lens,4.3,"11,00,000",Data Scientist
KPIT Technologies,3.8,"11,00,000",Data Scientist
Apexon,4.0,"11,86,094",Data Scientist
Franklin Templeton Investments,3.9,"25,47,870",Data Scientist
EMPLOYERS,3.8,"6,13,536",Data Scientist
Algo8.ai,3.5,"7,52,353",Data Scientist
Loylty Rewardz Mngt,3.8,"11,59,025",Data Scientist
Neustar,4.3,"31,07,000",Data Scientist
Verisk,3.8,"6,85,126",Data Scientist
AlmaBetter,4.2,"6,23,094",Data Scientist
Innodatatics,4.3,"10,284",Data Scientist - Monthly Intern
Piramal Enterprises,3.8,"13,50,000",Data Scientist
Wns Global Services,3.5,"7,60,000",Data Scientist
TransOrg Analytics,3.1,"9,09,677",Data Scientist
McKinsey & Company,4.3,"23,13,732",Data Scientist
Eaton,3.9,"12,19,277",Data Scientist
Gartner,4.1,"18,69,761",Data Scientist
Michelin,4.1,"11,88,978",Data Scientist
Amazon,3.8,"85,667",Data Scientist - Monthly
Course5 Intelligence,4.4,"11,76,875",Data Scientist
Aera Technology,3.5,"17,10,000",Data Scientist
Webtunix,4.5,"59,171",Data Scientist - Monthly
Vodafone Idea,3.9,"21,58,653",Data Scientist
HTC Global Services,3.6,"6,38,814",Data Scientist
Bristlecone,4.1,"77,766",Data Scientist - Monthly
Other,4.1,"6,82,012",Data Scientist
S&P Global,4.1,"13,03,000",Data Scientist
Akaike Technologies,4.8,"8,58,696",Data Scientist
Zomato,3.9,"18,95,783",Data Scientist
Mahindra,4.0,"10,84,031",Data Scientist
T-Systems,4.0,"13,30,481",Data Scientist
ParallelDots,4.3,"9,12,330",Data Scientist
Applied Materials,4.1,"16,37,399",Data Scientist
HSBC,3.8,"11,84,275",Data Scientist
Rakuten,3.7,"19,60,000",Data Scientist
Blue Yonder,4.1,"20,23,536",Data Scientist
CRED,4.4,"31,27,627",Data Scientist
Aidetic,4.2,"6,50,000",Data Scientist
TVS Credit Services,4.2,"7,98,232",Data Scientist
TVS Motor Company,3.8,"12,00,000",Data Scientist
Arya.ai,4.2,"8,86,987",Data Scientist
Hinduja Global Solutions,3.5,"12,20,794",Data Scientist
VMware,4.3,"21,00,000",Data Scientist
BYJU'S,3.3,"6,15,000",Data Scientist
CASHe,3.6,"11,34,564",Data Scientist
UPL,4.3,"17,00,386",Data Scientist
Synechron,4.3,"11,40,412",Data Scientist
Idexcel,4.0,"5,37,917",Data Scientist
Karvy Group,3.3,"7,26,820",Data Scientist
Tableau Software,3.8,"6,66,385",Data Scientist
Robert Bosch,4.2,"12,24,596",Data Scientist
Loyalytics Consulting,4.1,"9,50,000",Data Scientist
Shadowfax Technologies,4.2,"20,81,693",Data Scientist
DONE by NONE,4.0,"20,817",Data Scientist - Monthly Intern
Nokia,4.2,"17,26,765",Data Scientist
Info Edge,4.0,"20,00,000",Data Scientist
Tech Data,3.7,"1,00,000",Data Scientist - Monthly
nference,3.9,"24,51,753",Data Scientist
ADP,4.0,"10,00,000",Data Scientist
First Student,3.9,"41,533",Data Scientist - Monthly Intern
Renault Nissan Technology & Business Centre,3.7,"20,50,027",Data Scientist
NDS InfoServ,4.9,"11,10,642",Data Scientist
FlyNava Technologies,3.8,"42,640",Data Scientist - Monthly
Flip Robo,4.4,"3,18,468",Data Scientist - Intern
Freelancer,4.2,"7,00,126",Data Scientist
Indium Software,4.2,"7,11,245",Data Scientist
Coforge,3.9,"16,86,280",Data Scientist
WNS,3.5,"8,40,152",Data Scientist
GE HealthCare,4.3,"16,27,727",Data Scientist
MetLife,3.9,"8,69,777",Data Scientist
SG Analytics,3.7,"8,63,375",Data Scientist
Aptus Data Labs,4.2,"7,99,493",Data Scientist
Hexaware Technologies,3.8,"10,25,385",Data Scientist
Bidgely,4.0,"18,21,427",Data Scientist
Square Panda,4.0,"7,31,044",Data Scientist
Apple,4.2,"8,68,188",Data Scientist
Altimetrik,4.1,"6,83,187",Data Scientist
HARMAN,3.9,"16,38,709",Data Scientist
FICO,4.1,"17,61,790",Data Scientist
Rolls-Royce,3.9,"14,71,917",Data Scientist
Professional Data Analysts,4.1,"8,64,586",Data Scientist
Money View,4.4,"15,47,243",Data Scientist
Innowatts,3.1,"11,00,000",Data Scientist
QuantZig,4.6,"9,55,404",Data Scientist
Tata Technologies,3.7,"7,33,286",Data Scientist
ShareChat,3.7,"24,45,582",Data Scientist
Mbb Labs,3.5,"14,58,896",Data Scientist
Credit Suisse,3.8,"17,00,355",Data Scientist
Turing,4.0,"11,00,000",Data Scientist
Freshworks,3.9,"8,71,506",Data Scientist
Cerner,3.6,"9,06,635",Data Scientist
L&T Technology Services,3.4,"7,36,241",Data Scientist
ZEE5,3.1,"18,73,024",Data Scientist
Molecular Connections,3.9,"5,76,648",Data Scientist
Brane Enterprises (nslhub),3.4,"16,91,667",Data Scientist
Ecom Express,3.9,"9,25,000",Data Scientist
NSHM Knowledge Campus,3.4,"5,30,780",Data Scientist
Zendrive,4.4,"19,18,490",Data Scientist
Internshala,3.8,"6,11,225",Data Scientist
Apar Technologies,3.7,"8,47,500",Data Scientist
UST,3.9,"6,17,487",Data Scientist
Glance,3.8,"18,50,000",Data Scientist
Analytics Vidhya,4.0,"8,22,659",Data Scientist
Optum Global Solutions India,4.2,"14,73,261",Data Scientist
FlexiLoans Technologies,3.8,"8,30,000",Data Scientist
Morningstar,4.1,"10,50,000",Data Scientist
Tata,4.1,"11,55,321",Data Scientist
Vidooly Media Tech,4.0,"16,863",Data Scientist - Monthly
ExxonMobil,3.2,"1,26,966",Data Scientist - Monthly
Larsen & Toubro,3.8,"69,620",Data Scientist - Monthly
None Such Farm,3.9,"7,65,000",Data Scientist
Head Digital Works,4.0,"12,81,048",Data Scientist
YASH Technologies,3.8,"6,73,154",Data Scientist
Swiss Re,4.1,"15,15,536",Data Scientist
DeepTek Medical Imaging,4.3,"8,20,000",Data Scientist
Concentrix,4.1,"5,90,000",Data Scientist
Tata Consultancy Services,3.9,"7,03,680",Data Scientist - Contractor
Veracitiz Solution,3.8,"5,08,621",Data Scientist
Kaleidofin,3.6,"12,25,112",Data Scientist
Unified Healthcare Group,3.9,"15,51,808",Data Scientist
Standard Chartered Bank,3.9,"16,33,500",Data Scientist
SigTuple,3.6,"24,50,443",Data Scientist
Ashok Leyland,4.1,"14,84,866",Data Scientist
UniQreate,1.8,"5,35,666",Data Scientist
TCG Digital,4.1,"15,73,861",Data Scientist
Everlytics,3.1,"4,23,893",Data Scientist
Lido,2.8,"12,29,032",Data Scientist
Thomson Reuters,3.7,"10,50,000",Data Scientist
Coupa Software Inc,4.1,"13,77,198",Data Scientist
Markytics,4.4,"41,667",Data Scientist - Monthly
Virtual Employee,3.8,"53,078",Data Scientist - Monthly
Infosys BPM,3.6,"8,82,567",Data Scientist
Shyena Tech Yarns,3.8,"4,20,786",Data Scientist
Pentation Analytics,3.1,"5,86,419",Data Scientist
Thoughtworks,4.1,"9,40,000",Data Scientist
Knowledge Foundry,4.6,"10,18,490",Data Scientist
Anonymous,3.8,"11,10,642",Data Scientist
Locus,3.6,"23,54,960",Data Scientist
Tata Steel,4.1,"15,24,097",Data Scientist
Uber,3.9,"21,00,000",Data Scientist
Yes Bank,3.8,"12,51,051",Data Scientist
Exela Technologies,3.1,"16,00,000",Data Scientist
Smart Energy Water,3.1,"6,63,602",Data Scientist
Aditya Birla Group,4.1,"12,62,358",Data Scientist
1mg,3.7,"13,30,387",Data Scientist
Hypersonix (CA),3.8,"15,80,000",Data Scientist
Zoho,4.5,"12,00,000",Data Scientist
Piramal Enterprises,3.8,"73,638",Data Scientist - Monthly Intern
DBS Bank,4.0,"14,08,050",Data Scientist
Exposys Data Labs,3.9,"37,473",Data Scientist - Monthly Intern
Teradata,3.8,"12,19,277",Data Scientist
Searce,3.6,"7,73,862",Data Scientist
PharmEasy,3.5,"13,00,000",Data Scientist
upGrad,4.1,"8,88,514",Data Scientist
YouPlus,2.6,"14,41,303",Data Scientist
Lotus Interworks,4.4,"68,378",Data Scientist - Monthly
Playpower Labs,4.5,"12,00,000",Data Scientist
Tata AIG General Insurance,3.7,"15,61,270",Data Scientist
Bank of America,4.0,"13,60,801",Data Scientist
ascena,3.3,"16,13,750",Data Scientist
Alumnus Software,4.1,"6,24,508",Data Scientist
Foundation AI,4.1,"16,00,000",Data Scientist
Tatras Data,3.6,"10,74,624",Data Scientist
Oriserve,4.4,"13,00,000",Data Scientist
Navidium,3.8,"7,07,079",Data Scientist
OLX Group,3.8,"23,00,000",Data Scientist
Boston Consulting Group,4.3,"21,23,120",Data Scientist
Barclays,4.0,"20,81,693",Data Scientist
AppyHigh Technology,4.6,"13,00,000",Data Scientist
AlgonoX Technologies,3.8,"7,10,000",Data Scientist
ANZ,4.1,"15,77,948",Data Scientist
OYO,3.3,"35,847",Data Scientist - Monthly Intern
Boeing,3.9,"21,78,877",Data Scientist
Meta,3.9,"10,00,000",Data Scientist
InMobi,4.2,"22,00,000",Data Scientist
Fresherworld.com,4.0,"7,58,181",Data Scientist
ATCS,4.0,"10,24,193",Data Scientist
National Payments Corporation of India,3.3,"7,20,000",Data Scientist
Humonics,3.2,"10,00,000",Data Scientist
Artivatic Data Labs,3.6,"7,99,485",Data Scientist
HSBC Electronic Data Processing India,3.9,"18,93,537",Data Scientist
Simpl,3.7,"13,00,000",Data Scientist
Merkle,3.7,"11,77,281",Data Scientist
InViz AI Solutions,3.0,"8,50,000",Data Scientist
Analytical Wizards,4.7,"8,24,403",Data Scientist
PayU,3.8,"22,05,459",Data Scientist
Tata Consultancy Services,3.9,"4,20,000",Data Scientist
Birlasoft,3.6,"8,20,011",Data Scientist
Comviva,3.7,"9,41,400",Data Scientist
Scry AI,4.0,"20,00,000",Data Scientist
State Bank of India,3.7,"13,53,578",Data Scientist
Texas Instruments,4.1,"29,00,000",Data Scientist
Elucidata (MA),4.2,"11,66,877",Data Scientist
Blinkit,3.7,"19,93,678",Data Scientist
LendingKart,3.9,"11,74,065",Data Scientist
Ideas2IT,4.4,"22,46,038",Data Scientist
Blackcoffer,4.7,"25,523",Data Scientist - Monthly
Bajaj Finserv Health,4.2,"11,42,417",Data Scientist
GlobalData,3.4,"10,42,542",Data Scientist
Big Data Scientists,4.6,"8,34,034",Data Scientist
ACL Digital,4.0,"7,00,000",Data Scientist
First Student,3.9,"61,365",Data Scientist - Monthly
Blue Sky Analytics,3.3,"38,872",Data Scientist - Monthly
XYZ Tech,4.0,"7,00,126",Data Scientist
.Kreate,4.2,"4,28,174",Data Scientist
Evalueserve,3.9,"11,00,000",Data Scientist
Fresher,4.1,"5,00,000",Data Scientist
AXA,4.0,"12,64,228",Data Scientist
ValueLabs,4.3,"11,40,412",Data Scientist
Commonwealth Bank of Australia,4.0,"17,60,000",Data Scientist
Google,4.4,"5,00,000",Data Scientist
iOPEX Technologies,3.6,"4,81,048",Data Scientist
Karza Technologies,4.6,"12,92,084",Data Scientist
GE Digital,3.6,"16,82,525",Data Scientist
Vedantu,3.5,"12,18,936",Data Scientist
TEKsystems,4.0,"10,88,740",Data Scientist
Monsoon (India),4.1,"77,019",Data Scientist - Monthly
Lenovo,4.0,"17,81,907",Data Scientist
CreditNirvana,4.0,"12,92,668",Data Scientist
Neewee,3.0,"83,498",Data Scientist - Monthly
SLK Group,3.7,"7,55,000",Data Scientist
NetApp,4.1,"25,96,202",Data Scientist
ThinkBridge,3.8,"8,11,850",Data Scientist
Guavus,3.1,"16,28,063",Data Scientist
Capgemini Engineering,3.7,"11,75,525",Data Scientist
Sopra Steria,3.8,"12,88,440",Data Scientist
VE Commercial Vehicles,3.6,"5,81,797",Data Scientist
Harsha,3.8,"11,09,245",Data Scientist
Elegant MicroWeb,4.4,"42,002",Data Scientist - Monthly
Finarb,3.8,"17,05,615",Data Scientist
Globant,4.3,"12,74,508",Data Scientist
Sravathi AI Technology,4.4,"8,34,934",Data Scientist
Samsung Electronics,3.8,"20,65,558",Data Scientist
Dream11,3.6,"22,18,139",Data Scientist
IVL Global,3.8,"7,16,362",Data Scientist
CRISIL,3.9,"13,02,867",Data Scientist
Chistats,4.7,"7,58,468",Data Scientist
Landmark Group,3.9,"17,29,219",Data Scientist
Mahindra Integrated Business Solutions,3.4,"10,07,263",Data Scientist
Dr. Reddy's,4.0,"22,00,000",Data Scientist
AI Variant,4.2,"1,70,000",Data Scientist - Intern
ADF Data Science,4.0,"9,95,127",Data Scientist
Hdfc,3.7,"81,419",Data Scientist - Monthly
Razorpay,4.0,"17,98,177",Data Scientist
Indus Insights,2.8,"16,50,000",Data Scientist
Xceedance,3.7,"8,30,161",Data Scientist
Smiths Detection,3.5,"20,20,011",Data Scientist
AB InBev,3.9,"18,22,206",Data Scientist
Netomi,4.5,"18,73,112",Data Scientist
Limeroad,3.7,"12,83,777",Data Scientist
Easyrewardz Software Services,3.4,"5,50,000",Data Scientist
Reserve Bank Information Technology,3.5,"15,50,000",Data Scientist
App Orchid,4.5,"1,28,552",Data Scientist - Monthly
Yubi,3.3,"21,00,000",Data Scientist
ABC,3.9,"6,55,232",Data Scientist - Intern
ZestMoney,4.3,"15,49,484",Data Scientist
Defence Research & Development Organisation,4.4,"7,77,661",Data Scientist - Intern
Joveo,4.2,"28,10,019",Data Scientist
AI Variant,4.2,"3,25,000",Data Scientist
CRMnext,3.6,"6,95,000",Data Scientist
AntWorks,3.2,"12,66,769",Data Scientist
Metacube Software Pvt. Ltd.,4.1,"10,27,192",Data Scientist
Safaltek Software,2.9,"54,466",Data Scientist - Monthly
AGS Health,4.0,"4,63,552",Data Scientist
Elpis IT Solutions,4.0,"16,18,145",Data Scientist
BA Continuum India,4.3,"12,47,989",Data Scientist
D&B Technologies,3.8,"10,62,500",Data Scientist
Visa Inc.,4.1,"18,10,947",Data Scientist
Zeta Suite,3.7,"23,45,198",Data Scientist
HERE Technologies,3.6,"12,50,648",Data Scientist
GroupM,3.9,"14,17,531",Data Scientist
Blend360,4.2,"20,50,000",Data Scientist
Dure Technologies,3.3,"14,16,385",Data Scientist
Accenture Solutions,4.1,"18,50,000",Data Scientist
Yodlee,3.7,"23,85,322",Data Scientist
GAIN Credit (formerly Global Analytics),3.3,"21,67,373",Data Scientist
Wipro Digital,3.8,"7,98,602",Data Scientist
udaan.com,3.6,"22,24,193",Data Scientist
Draup,4.1,"19,64,379",Data Scientist
Baker Hughes,3.9,"16,73,163",Data Scientist
Motilal Oswal Financial Services,3.7,"6,34,761",Data Scientist
Ugam,3.8,"8,39,869",Data Scientist
IndusInd Bank,3.4,"13,00,000",Data Scientist
Iris Software,4.3,"15,90,273",Data Scientist
Morgan Stanley,4.0,"23,77,862",Data Scientist
3LOQ Labs,2.9,"9,11,303",Data Scientist
Ey,3.9,"9,50,000",Data Scientist
Tridiagonal Solutions,3.4,"6,00,000",Data Scientist
ARMSOFTECH.AIR,4.5,"6,43,171",Data Scientist
Conduent,3.1,"8,92,656",Data Scientist
United Airlines,4.0,"29,02,288",Data Scientist
KhataBook,3.7,"26,40,608",Data Scientist
Pivotchain Solutions,4.4,"8,50,000",Data Scientist
Xoriant,3.8,"17,76,558",Data Scientist
Naukri.com,3.7,"26,62,334",Data Scientist
Freelancer,4.2,"39,261",Data Scientist - Monthly
Wipro,3.8,"10,81,426",Data Scientist
Tesco Bengaluru,3.9,"19,31,372",Data Scientist
Gyan Data,4.1,"5,22,807",Data Scientist
FourKites,3.9,"12,04,270",Data Scientist
Google,4.4,"2,84,052",Data Scientist
Healofy,4.1,"27,44,122",Data Scientist
Skoruz,4.6,"11,53,581",Data Scientist
Tietoevry,4.2,"8,58,407",Data Scientist
IIT Madras,4.5,"54,149",Data Scientist - Monthly
Cognizant Technology Solutions,3.8,"36,310",Data Scientist - Monthly Intern
GoLorry,2.5,"7,65,317",Data Scientist
iQuanti,3.7,"22,08,388",Data Scientist
Fresher,4.1,"17,333",Data Scientist - Monthly Intern
Red Hat,4.2,"14,19,842",Data Scientist
GeakMinds,4.7,"5,15,000",Data Scientist
Mobile Premier League,4.0,"26,48,872",Data Scientist
Trell,3.7,"12,61,245",Data Scientist
Shubh Loans,3.9,"10,01,281",Data Scientist
Ericsson India Global services Pvt. Ltd.,4.3,"14,80,000",Data Scientist
Inshorts,4.5,"30,92,340",Data Scientist
Saama Technologies,4.0,"9,69,493",Data Scientist
Nucot,4.9,"6,00,000",Data Scientist
Unilever,4.1,"13,55,577",Data Scientist
Brain Vision Technology,4.4,"5,15,000",Data Scientist
Lincode,3.2,"6,83,777",Data Scientist
Analytics Vidhya,4.0,"13,198",Data Scientist - Monthly Intern
Cartesian Consulting,3.5,"8,37,733",Data Scientist
General Mills,4.1,"12,65,509",Data Scientist
HCL,3.7,"6,80,479",Data Scientist
Zummit Infolabs,4.1,"6,57,258",Data Scientist
UBS,3.9,"13,93,544",Data Scientist
XYZ,3.8,"8,09,677",Data Scientist
HT Media,3.5,"17,96,327",Data Scientist
STL - Sterlite Technologies Limited,3.5,"11,37,917",Data Scientist
Zoomcar,3.4,"12,49,869",Data Scientist
HighRadius,3.7,"33,686",Data Scientist - Monthly Intern
Cipla,3.9,"7,37,500",Data Scientist
JPMorgan Chase & Co,4.0,"16,00,000",Data Scientist
Hakkasan Group,3.7,"6,11,073",Data Scientist
Technocolabs,3.5,"20,000",Data Scientist - Monthly Intern
Acronotics,3.3,"18,00,000",Data Scientist
Mavenir,3.7,"12,30,016",Data Scientist
Pikky,4.9,"7,62,048",Data Scientist
